"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","410","Login","chromium","2026-09-19","passed","2026-09-19","","LoginTest.spec.ts","",""
"","1068","Main menu buttons check","webkit","2026-09-19","passed","2026-09-19","","CheckMenu.spec.ts","",""
"","3256","Make appointment negative test with login","webkit","2026-09-19","passed","2026-09-19","","MakeAppointmentNegativeTest.spec.ts","",""
"","1354","Make appointment negative test with login","firefox","2026-09-19","passed","2026-09-19","","MakeAppointmentNegativeTest.spec.ts","",""
"","16630","Bulk make appointment workflow with login","webkit","2026-09-19","passed","2026-09-19","","BulkMakeAppointment.spec.ts","",""
"","2999","Full appointment workflow with login","webkit","2026-09-19","passed","2026-09-19","","FullMakeAppointment.spec.ts","",""
"","2571","Landing page visual test","webkit","2026-09-19","failed","2026-09-19","","VisualTest.spec.ts","",""
"","1066","Full appointment workflow with login","chromium","2026-09-19","passed","2026-09-19","","FullMakeAppointment.spec.ts","",""
"","675","Landing page visual test","chromium","2026-09-19","passed","2026-09-19","","VisualTest.spec.ts","",""
"","6515","Bulk make appointment workflow with login","firefox","2026-09-19","passed","2026-09-19","","BulkMakeAppointment.spec.ts","",""
"","620","Login","firefox","2026-09-19","passed","2026-09-19","","LoginTest.spec.ts","",""
"","1425","Full appointment workflow with login","firefox","2026-09-19","passed","2026-09-19","","FullMakeAppointment.spec.ts","",""
"","827","Main menu buttons check","firefox","2026-09-19","passed","2026-09-19","","CheckMenu.spec.ts","",""
"","2856","Check menu after login","webkit","2026-09-19","passed","2026-09-19","","CheckMenuAfterLogin.spec.ts","",""
"","1667","Check menu after login","firefox","2026-09-19","passed","2026-09-19","","CheckMenuAfterLogin.spec.ts","",""
"","1050","Landing page visual test","firefox","2026-09-19","failed","2026-09-19","","VisualTest.spec.ts","",""
"","571","Main menu buttons check","chromium","2026-09-19","passed","2026-09-19","","CheckMenu.spec.ts","",""
"","1185","Check menu after login","chromium","2026-09-19","passed","2026-09-19","","CheckMenuAfterLogin.spec.ts","",""
"","922","Login","webkit","2026-09-19","passed","2026-09-19","","LoginTest.spec.ts","",""
"","957","Make appointment negative test with login","chromium","2026-09-19","passed","2026-09-19","","MakeAppointmentNegativeTest.spec.ts","",""
"","5140","Bulk make appointment workflow with login","chromium","2026-09-19","passed","2026-09-19","","BulkMakeAppointment.spec.ts","",""
